schemeName,colors
schemeAccent,#6FC16C;#B09BCA;#FAB273;#FFFF88;#2C57A0;#E9006C;#AF4713;#535353
rainbow,#DE324C;#F4895F;#F8E16F;#95CF92;#369ACC;#9656A2;#CBABD1
earth,#566071;#846470;#727F96;#C39F72;#D5BF95;#667762;#879E82
